matchNumber,scoreRedFinal,scoreRedFoul,scoreRedAuto,scoreBlueFinal,scoreBlueFoul,scoreBlueAuto,Red1,Red2,Red3,Blue1,Blue2,Blue3
1,45,0,6,58,0,6,6647,4782,6170,7421,3933,7546
2,71,5,3,50,10,12,6676,3794,3478,3472,6608,4584
3,47,0,14,56,0,17,4010,5932,6832,6017,6106,9280
4,17,0,3,7,5,0,8740,6694,8741,9060,3526,7725
5,102,0,27,57,12,19,9282,4635,2283,6348,6702,5959
6,52,0,12,24,5,0,7102,3158,5887,9213,5133,8256
7,34,0,9,20,0,9,4775,4403,6647,6170,8734,8293
8,21,5,0,31,5,6,6608,6832,6106,9060,6676,4584
9,30,0,6,37,5,7,6348,8741,3933,3794,8740,6702
10,59,17,9,62,0,21,5932,2283,6017,3478,3158,4635
11,33,0,3,43,5,3,7421,9282,9213,3472,4775,3526
12,89,20,18,69,10,3,8256,8293,4403,6694,4010,4782
13,71,5,12,50,5,9,8734,7546,5959,9280,5133,5887
14,79,0,21,26,0,0,6106,7102,3478,7725,6647,6608
15,75,15,3,71,17,13,6017,4584,7421,6348,2283,4775
16,29,5,3,93,5,9,3158,6676,6702,8740,4403,4010
17,35,0,3,53,5,6,4782,8741,5133,5932,3472,6694
18,45,0,6,91,15,20,5959,8256,9060,3933,9282,7102
19,49,0,4,30,0,12,6170,3526,5887,7725,3794,6832
20,65,5,17,88,0,18,7546,9280,8293,8734,9213,4635
21,54,10,9,42,5,20,4403,6694,2283,4775,6106,8740
22,114,44,12,37,0,0,4010,3478,3933,6608,7421,8741
23,105,49,9,44,10,11,6676,5959,6647,6017,9060,4782
24,54,5,6,52,0,9,7725,9213,7546,4584,8256,9282
25,73,0,23,43,12,7,6170,6348,9280,7102,3472,8734
26,37,0,6,26,0,15,3794,5932,5133,8293,6702,6832
27,87,0,21,44,0,6,4635,5887,6608,3158,3526,6647
28,64,5,15,56,20,12,6017,8256,7546,8741,5959,4403
29,80,0,9,62,5,20,6694,3478,6348,9280,2283,9213
30,21,0,6,64,5,7,9060,6702,3472,4775,4010,7725
31,70,5,18,33,5,4,7102,8740,6170,5887,8293,4584
32,90,34,24,20,0,3,3933,3526,6106,4782,8734,3158
33,22,5,3,86,10,22,9282,6676,5133,7421,4635,3794
34,52,10,15,59,0,17,6832,9213,3472,6647,5932,8256
35,60,0,13,36,10,0,6702,6017,6170,8740,9280,6608
36,48,5,3,45,0,9,8293,4782,3526,4403,3478,9060
37,36,5,12,48,0,9,6106,7546,6694,6348,3794,3158
38,51,0,10,68,0,17,5133,4584,4775,9282,5887,4010
39,36,0,7,66,5,12,6676,7421,7725,5959,3933,5932
40,42,0,18,101,5,33,2283,6832,8734,8741,7102,4635
41,66,0,18,99,34,18,9060,6647,3794,3158,9213,6017
42,24,0,18,92,15,22,8256,6348,6106,3478,6702,5133
43,35,5,0,59,5,17,9280,3472,7725,3526,4403,6676
44,104,5,27,46,0,14,4584,4635,4010,6832,7102,4782
45,66,5,7,52,5,11,8740,7421,8293,7546,6608,2283
46,67,0,24,26,0,6,3933,8734,4775,5887,8741,5932
47,101,29,12,53,15,15,5959,9282,3478,6694,6170,3158
48,21,0,9,126,34,27,4010,8256,3526,6647,6017,6348
49,33,0,6,40,0,10,2283,8740,9060,5133,7546,3472
50,30,0,3,87,5,25,9213,6608,5932,4403,6832,3933
51,40,0,14,70,5,15,4775,3794,4782,7102,5959,9280
52,68,0,7,82,15,8,6702,7725,6694,7421,5887,8734
53,44,5,9,44,5,12,8293,8741,9282,6170,6106,6676
54,110,5,25,66,0,28,4635,5133,4403,4584,6647,3933
55,51,0,6,73,0,21,2283,4782,5959,3794,4010,9213
56,30,0,3,69,5,21,6832,4775,8256,8734,3478,8740
57,65,15,9,42,0,6,3526,6694,7102,7546,5932,6676
58,68,0,9,75,0,27,6608,6017,8293,9282,7725,6348
59,32,10,12,33,0,13,3472,6170,4635,6106,9060,5887
60,36,0,8,55,0,20,3158,4584,8741,6702,9280,7421
61,92,10,21,60,0,25,6676,4010,8734,3478,4775,7546
62,46,0,12,71,15,12,5932,6348,8740,4782,4403,9282
63,91,32,18,36,0,10,5887,7725,6017,2283,8293,3794
64,75,0,25,71,5,13,4635,9060,9280,8256,6170,7421
65,84,0,27,41,0,10,9213,6647,7102,8741,6106,6702
66,73,5,9,44,12,18,3472,3158,5959,3526,6832,4584
67,34,0,15,46,0,24,5133,3933,6017,6608,6694,4775
