Marca temporal,Scouter,Match,Team,Autonomous Cubos [AutoCubo3],Autonomous Cubos [AutoCubo2],Autonomous Cubos [AutoCubo1],Autonomous Conos [AutoCono3],Autonomous Conos [AutoCono2],Autonomous Conos [AutCono1],Auto Mobility: Left Community,Auto Charge station,Auto Comentarios Extra,Teleop Cubos [TOCubo3],Teleop Cubos [TOCubo2],Teleop Cubos [TOCubo1],Teleop Conos [TOCono3],Teleop Conos [TOCono2],Teleop Conos [TOCono1],Teleop Charge Station,Teleop Park,Disconnection Time ,Defensive Rank,TeleOp Comentarios Extras,Aliance
21/10/2023 10:51:18,delfin,1,9282,0,1,0,0,0,0,No,Nothing,,0,1,0,0,0,0,Engaged,Si,0,2,,Red
21/10/2023 10:51:30,delfin,1,696.2,1,0,0,0,0,0,Si,Nothing,,0,1,4,0,0,0,Engaged,Si,0,2,,Red
21/10/2023 10:51:57,leah,1,4415,0,0,0,1,0,0,No,Nothing,,0,0,0,0,0,0,Engaged,Si,0,2,es lentisimo ,Blue
21/10/2023 10:51:57,clarisa,1,3128.2,0,0,0,0,0,0,No,Nothing,,2,0,1,2,0,0,Nothing,No,29,3,,Blue
21/10/2023 10:55:16,karla ,1,1148.2,0,0,0,0,0,0,No,Nothing,,1,1,1,0,1,0,Nothing,Si,0,1,Se mueve mucho y se ve inestable cuando se mueve ,Red
21/10/2023 10:58:17,delfin,2,599.2,0,0,0,0,0,0,No,Nothing,No se presentó,0,0,0,0,0,0,Nothing,No,0,1,No se presentó,Red
21/10/2023 11:00:02,clarisa ,2,3128,0,0,0,1,0,0,No,Engaged (Balanced),,0,0,0,0,0,0,Nothing,No,120,2,Se callo los primeros 2 segundos 💀,Blue
21/10/2023 11:00:32,leah,2,4414,0,0,0,1,0,0,Si,Nothing,,2,2,0,0,0,3,Engaged,Si,0,3,,Blue
21/10/2023 11:00:46,mangie,3,3647.2,0,0,1,0,0,0,Si,Nothing,,0,0,7,0,0,0,Nothing,Si,0,2,,Red
21/10/2023 11:09:33,clarisa,3,4414.2,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Nothing,No,120,2,No se presento al match UGHHHHH ,Blue
21/10/2023 11:09:55,leah,3,6647,1,0,0,0,0,0,Si,"Docked (Not touching the ground, but not balanced)",,1,0,7,0,0,0,Engaged,Si,0,3,,Blue
21/10/2023 11:10:05,mangie,3,4,0,0,0,1,0,0,Si,Nothing,,1,0,0,0,2,0,"Docked  (Not touching the ground, CS not Balanced)",Si,0,2,,Red
21/10/2023 11:10:51,Rebeca,3,5199,0,0,1,0,0,0,Si,Nothing,,1,0,3,3,0,0,"Docked  (Not touching the ground, CS not Balanced)",No,0,2,,Red
21/10/2023 11:11:24,karla,3,4079,0,0,0,0,0,0,No,Nothing,,1,0,1,0,0,0,Nothing,No,0,1,,Red
21/10/2023 11:19:40,leah,4,589,0,0,0,0,0,0,Si,Nothing,,0,0,2,0,0,0,Engaged,Si,0,2,muy pacifico,Blue
21/10/2023 11:19:41,clarisa,4,3925,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Nothing,Si,120,2,NO SE FUCKING MOVIO 💀💀💀💀,Blue
21/10/2023 11:19:45,Rebeca,4,359,0,1,1,1,0,0,No,"Docked (Not touching the ground, but not balanced)",,1,1,0,3,2,0,Engaged,Si,0,2,Buen ciclo nivel 3,Blue
21/10/2023 11:19:47,sofy garcia,4,7157,1,0,0,0,0,0,Si,Nothing,Muy rápido ,2,0,4,2,0,2,"Docked  (Not touching the ground, CS not Balanced)",Si,0,2,,Red
21/10/2023 11:19:49,mangie,4,1197,0,0,0,1,0,0,Si,Nothing,,0,0,2,0,0,0,Engaged,Si,0,2,,Red
21/10/2023 11:21:01,karla,4,3512,0,0,0,1,0,0,No,Nothing,,0,1,0,0,1,0,"Docked  (Not touching the ground, CS not Balanced)",No,47,2,Despues de un golpe con un azul  se paro el robot ,Red
21/10/2023 11:27:25,sofy,5,1138,0,0,0,0,0,0,No,Nothing,,0,1,4,0,0,0,Engaged,No,0,2,,Red
21/10/2023 11:27:41,leah,5,3759,0,0,0,0,0,0,Si,Nothing,,0,0,2,0,0,0,"Docked  (Not touching the ground, CS not Balanced)",Si,0,2,,Blue
21/10/2023 11:27:42,mangie,5,6017,0,1,0,0,0,0,No,Nothing,,3,1,1,0,0,0,Nothing,No,34,3,,Red
21/10/2023 11:27:45,Rebeca,5,8006.2,0,0,0,0,0,0,Si,Nothing,,0,0,0,0,0,0,Nothing,No,0,3,Tanque,Blue
21/10/2023 11:27:59,karla,5,4276,0,1,0,0,0,0,No,Nothing,,1,1,1,1,0,0,Engaged,Si,0,3,,Red
21/10/2023 11:28:02,clarisa,5,7415,0,0,1,0,0,0,No,Nothing,,0,0,5,0,0,0,"Docked  (Not touching the ground, CS not Balanced)",Si,0,2,,Blue
21/10/2023 11:36:14,sofy,6,8006,0,0,0,0,0,0,Si,Nothing,,0,0,0,0,0,0,Engaged,No,0,3,,Red
21/10/2023 11:36:30,Rebeca,6,9084,0,0,1,1,0,0,Si,Nothing,,1,0,0,3,0,0,Nothing,No,0,2,,Blue
21/10/2023 11:36:36,mangie,6,2659,0,0,0,1,0,0,Si,Nothing,,1,3,1,4,3,1,Engaged,Si,0,2,,Red
21/10/2023 11:36:52,leah,6,696,1,0,0,0,0,0,Si,Engaged (Balanced),,0,0,0,0,0,0,Nothing,Si,60,1,se volteo ,Blue
21/10/2023 11:37:25,clarisa,5,1148,1,0,0,0,0,0,Si,Engaged (Balanced),,0,0,0,0,0,0,Nothing,Si,0,1,PESIMO CRITICAL THINKING NMMS,Blue
21/10/2023 11:37:30,karla,6,7102,0,1,0,0,0,0,No,Nothing,,0,2,0,0,0,0,Nothing,No,0,2,,Red
21/10/2023 11:45:42,delfin,7,5887,0,0,0,0,0,0,No,Nothing,,0,2,0,0,0,0,Engaged,No,0,2,,Red
21/10/2023 11:45:58,leah,7,599,0,0,1,0,0,0,Si,Engaged (Balanced),,1,0,0,2,1,2,"Docked  (Not touching the ground, CS not Balanced)",Si,0,3,,Blue
21/10/2023 11:46:02,mangie,7,2102,0,0,0,0,0,0,No,Nothing,,1,3,2,0,2,0,Engaged,Si,0,2,,Red
21/10/2023 11:46:19,Rebeca,7,3512.2,0,0,0,1,0,0,No,Nothing,,0,0,2,0,0,0,"Docked  (Not touching the ground, CS not Balanced)",Si,32,2,,Blue
21/10/2023 11:46:41,karla,7,3647,0,0,0,0,0,0,No,"Docked (Not touching the ground, but not balanced)",,0,1,0,1,0,2,Nothing,Si,28,3,Se subio al doc como con un brinco y cuando bajo  de ahi se apago ,Red
21/10/2023 11:47:13,clarisa ,7,4322,0,0,0,1,0,0,No,Nothing,,0,0,0,0,0,0,Nothing,Si,0,2,,Blue
21/10/2023 11:52:29,mangie,9,696.2,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Nothing,No,120,2,no se presentó,Red
21/10/2023 12:00:43,leah,8,1138,0,0,0,1,0,0,Si,Engaged (Balanced),,0,0,0,2,0,3,Engaged,Si,0,3,,Blue
21/10/2023 12:00:49,delfin,8,973,0,0,0,1,0,0,Si,Engaged (Balanced),,1,1,5,1,2,0,Engaged,Si,0,2,Buenos ciclos,Red
21/10/2023 12:01:00,Rebeca,8,4079,0,0,0,0,0,0,Si,Nothing,Le sigió dando sin parar para en frente Invadió la community roja,0,0,1,0,0,0,Engaged,Si,0,2,,Blue
21/10/2023 12:01:48,clarisa,8,3925,0,0,0,0,0,0,No,Nothing,,0,0,3,0,0,0,Engaged,Si,0,2,,Blue
21/10/2023 12:08:55,delfin,9,3647.2,0,0,1,0,0,0,Si,Nothing,,0,0,4,0,0,0,Nothing,No,5,1,,Red
21/10/2023 12:09:08,leah,9,1197,0,0,0,1,0,0,Si,Nothing,,0,0,0,3,0,0,Nothing,Si,0,3,,Blue
21/10/2023 12:09:08,clarisa ,9,4276,1,0,0,0,0,0,Si,Engaged (Balanced),,3,2,3,0,0,0,"Docked  (Not touching the ground, CS not Balanced)",Si,0,2,,Blue
21/10/2023 12:09:09,Rebeca,9,589,0,0,0,0,0,0,Si,Nothing,Puso cubo pero rebotó y se salió ,0,0,3,0,0,0,"Docked  (Not touching the ground, CS not Balanced)",Si,0,2,,Blue
21/10/2023 12:09:37,mangie,9,3863,0,0,1,0,0,0,No,Nothing,,0,0,1,2,0,0,"Docked  (Not touching the ground, CS not Balanced)",Si,0,2,le dió un ataque esquizofrenico que duró 20 segundos,Red
21/10/2023 12:09:58,karla,9,3128,0,0,0,3,0,0,No,Engaged (Balanced),,2,0,3,2,0,3,Engaged,Si,0,2,,Red
21/10/2023 12:18:40,Rebeca,10,4322,0,0,0,0,0,0,Si,Nothing,,0,0,0,1,0,3,Engaged,Si,0,2,,Blue
21/10/2023 12:18:43,karla,10,599,1,0,0,0,0,0,No,Engaged (Balanced),,1,1,0,2,2,0,Engaged,Si,0,3,,Red
21/10/2023 12:18:45,mangie,10,4414,0,0,0,3,0,0,Si,Nothing,,1,1,4,2,0,1,Nothing,Si,0,3,,Red
21/10/2023 12:18:45,delfin,10,8006.2,0,0,0,0,0,0,Si,Nothing,,1,0,0,0,0,0,Engaged,Si,0,1,Juega defensa contra alianza,Red
21/10/2023 12:18:48,leah,10,7102,0,0,0,0,0,0,Si,Nothing,,1,1,0,0,0,0,Engaged,Si,0,2,pudo defenderse mas ,Blue
21/10/2023 12:18:48,clarisa,10,1148.2,0,0,0,0,0,0,No,Nothing,,0,0,0,0,0,0,Nothing,No,100,2,,Blue
21/10/2023 12:30:29,leah,11,3128.2,0,0,0,1,0,0,Si,Engaged (Balanced),,1,0,0,0,0,0,"Docked  (Not touching the ground, CS not Balanced)",Si,60,2,se desconecto ,Blue
21/10/2023 12:30:29,Rebeca,11,3512.2,0,0,0,0,0,0,No,Nothing,,0,0,0,1,0,0,"Docked  (Not touching the ground, CS not Balanced)",Si,7,2,,Blue
21/10/2023 12:30:33,mangie,11,5124,0,0,0,0,0,0,Si,Nothing,,2,2,7,0,0,0,Engaged,Si,0,3,,Red
