,alliance,mobilityRobot1,autoChargeStationRobot1,endGameChargeStationRobot1,mobilityRobot2,autoChargeStationRobot2,endGameChargeStationRobot2,mobilityRobot3,autoChargeStationRobot3,endGameChargeStationRobot3,autoCommunity,autoGamePieceCount,autoMobilityPoints,autoPoints,autoDocked,autoBridgeState,autoGamePiecePoints,autoChargeStationPoints,teleopCommunity,teleopGamePieceCount,teleopPoints,teleopGamePiecePoints,extraGamePieceCount,endGameChargeStationPoints,endGameParkPoints,endGameBridgeState,links,linkPoints,activationBonusAchieved,sustainabilityBonusAchieved,coopertitionCriteriaMet,coopGamePieceCount,totalChargeStationPoints,foulCount,techFoulCount,g405Penalty,h111Penalty,adjustPoints,foulPoints,rp,totalPoints
0,Blue,No,None,Docked,No,Docked,Docked,Yes,None,None,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",1,3,19,True,Level,4,12,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'Cone', 'Cube', 'Cone'], 'B': ['None', 'None', 'None', 'None', 'None', 'Cube', 'Cube', 'Cone', 'Cone']}",7,34,14,0,20,0,Level,"[{'row': 'Bottom', 'nodes': [5, 6, 7]}, {'row': 'Mid', 'nodes': [6, 7, 8]}]",10,False,False,False,1,32,0,0,False,False,0,5,0,68
1,Blue,Yes,None,None,Yes,None,Docked,No,Docked,Park,"{'T': ['None', 'Cube', 'None', 'None', 'Cube', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube']}",3,6,33,True,Level,15,12,"{'T': ['None', 'Cube', 'Cone', 'None', 'Cube', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'Cone', 'None', 'None', 'None', 'None', 'None', 'Cube']}",5,15,7,0,6,2,NotLevel,[],0,False,False,False,1,18,0,0,False,False,0,5,0,53
2,Blue,Yes,None,Park,Yes,None,None,No,None,Park,"{'T': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'Cone', 'None', 'None', 'None', 'None', 'Cube']}",3,6,15,False,Level,9,0,"{'T': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'Cube', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['Cone', 'None', 'None', 'Cone', 'Cube', 'Cube', 'Cone', 'Cube', 'None']}",8,19,15,0,0,4,Level,"[{'row': 'Bottom', 'nodes': [3, 4, 5]}]",5,False,False,False,3,0,3,0,False,False,0,0,0,39
3,Blue,Yes,None,Docked,No,Docked,Park,No,None,Park,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube', 'None'], 'B': ['None', 'None', 'None', 'None', 'Cube', 'None', 'None', 'None', 'None']}",2,3,18,True,NotLevel,7,8,"{'T': ['None', 'None', 'None', 'None', 'Cube', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube', 'None'], 'B': ['Cube', 'Cube', 'Cube', 'None', 'Cube', 'None', 'Cone', 'None', 'None']}",7,27,13,0,10,4,Level,"[{'row': 'Bottom', 'nodes': [0, 1, 2]}]",5,False,False,False,2,18,0,0,False,False,0,10,0,60
4,Blue,Yes,None,Docked,Yes,None,Docked,No,None,None,"{'T': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'Cube', 'None', 'None', 'None', 'Cube']}",3,6,18,False,Level,12,0,"{'T': ['Cone', 'Cube', 'Cone', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'Cube', 'Cube', 'Cube', 'None', 'Cube', 'Cube', 'Cube']}",9,38,18,0,20,0,Level,"[{'row': 'Bottom', 'nodes': [2, 3, 4]}, {'row': 'Bottom', 'nodes': [6, 7, 8]}, {'row': 'Top', 'nodes': [0, 1, 2]}]",15,False,False,False,2,20,0,0,False,False,0,20,0,91
5,Blue,Yes,None,Docked,No,Docked,Park,Yes,None,Park,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'Cone', 'None', 'None', 'None', 'None', 'None']}",2,6,27,True,Level,9,12,"{'T': ['None', 'None', 'None', 'None', 'Cube', 'None', 'Cone', 'Cube', 'Cone'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['Cube', 'None', 'Cube', 'Cone', 'None', 'None', 'None', 'None', 'None']}",7,29,19,0,6,4,NotLevel,"[{'row': 'Top', 'nodes': [6, 7, 8]}]",5,False,False,False,2,18,3,0,False,False,0,0,0,61
6,Blue,Yes,None,Docked,Yes,None,Docked,No,Docked,Docked,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'Cone', 'None', 'None', 'None']}",2,6,25,True,Level,7,12,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube', 'Cone'], 'M': ['Cone', 'Cube', 'Cone', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'Cone', 'Cone', 'None', 'None', 'Cone', 'Cone', 'Cone', 'Cone']}",11,56,26,0,30,0,Level,"[{'row': 'Bottom', 'nodes': [5, 6, 7]}, {'row': 'Mid', 'nodes': [0, 1, 2]}]",10,False,False,False,1,42,2,2,False,False,0,5,0,96
7,Blue,Yes,None,Docked,No,None,Park,No,None,Docked,"{'T': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cone'], 'B': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']}",2,3,13,False,NotLevel,10,0,"{'T': ['None', 'Cube', 'None', 'None', 'Cube', 'Cone', 'Cone', 'None', 'Cone'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'Cone', 'None', 'Cone'], 'B': ['Cube', 'None', 'Cone', 'Cube', 'Cone', 'None', 'None', 'None', 'None']}",11,53,31,0,20,2,Level,"[{'row': 'Bottom', 'nodes': [2, 3, 4]}, {'row': 'Top', 'nodes': [4, 5, 6]}]",10,False,False,False,4,20,2,0,False,False,0,0,0,76
8,Blue,Yes,None,None,No,None,None,Yes,None,None,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['Cone', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube', 'None']}",2,6,12,False,Level,6,0,"{'T': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'Cube', 'None'], 'B': ['Cone', 'Cube', 'None', 'Cone', 'Cube', 'Cone', 'Cube', 'Cube', 'Cube']}",10,20,20,0,0,0,NotLevel,"[{'row': 'Bottom', 'nodes': [3, 4, 5]}, {'row': 'Bottom', 'nodes': [6, 7, 8]}]",10,False,False,False,3,0,2,0,False,False,0,5,0,47
9,Blue,No,None,Park,Yes,None,Docked,Yes,None,Docked,"{'T': ['None', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'None', 'Cube', 'None', 'None', 'Cube']}",3,6,18,False,Level,12,0,"{'T': ['Cone', 'Cube', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'M': ['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None'], 'B': ['None', 'None', 'None', 'None', 'Cube', 'Cube', 'Cube', 'Cube', 'Cube']}",7,33,11,0,20,2,Level,"[{'row': 'Bottom', 'nodes': [4, 5, 6]}]",5,False,False,False,2,20,2,0,False,False,0,0,0,56
